ReviewID,Keyword,Frequency
1,battery,1
1,fully charged,1
3,chromebook,1
3,portable,1
4,grad school,1
4,ordering,1
4,issues,1
4,apple product,1
4,lightweight,1
5,connect,3
5,stand,4
5,cover,3
5,surface pro 3,1
5,mouse,1
5,powered,1
5,crystal clear,1
5,figured,1
5,netbook,1
5,touch screen,2
5,hours,1
5,accessories,1
5,keyboards,1
5,stream,2
5,64gb card,1
5,experience,1
5,longer,1
5,charging,1
5,irulu tablet,2
5,monitor,1
5,charge,1
5,refund,1
5,battery life,1
5,games,2
5,issues,1
5,magnet,3
5,keyboard dock,1
5,received,1
5,light,3
5,replacement,2
5,regular keyboard,1
5,applications,1
5,1 year warranty,1
5,irulu,5
5,watching movies,1
5,storage space,2
5,upset,1
5,advertised,1
5,input,1
5,connecting,1
5,performance,3
5,usb hub,1
5,works fine,1
5,purchase,1
5,touchscreen,1
5,storage,4
5,greatest,1
5,keyboard cover,1
5,usb 3,1
5,active stylus,1
6,resolution,1
6,form factor,1
9,surface book,1
10,surface book,1
11,return,1
11,sensitive,2
11,setting,2
11,touch pad,1
11,connect,1
11,touch screen,1
11,disappointed,1
11,clicked,1
12,school work,1
12,fits perfectly,1
12,purchase,1
12,completely satisfied,1
14,fast laptop,1
14,chromebook,1
14,customer service,1
14,slower,1
14,price,1
14,apple,1
14,money,1
14,boyfriend,1
14,asus product,1
15,portability,1
15,shipping,1
16,warranty repair,1
16,returning,1
16,quality product,1
16,repaired,1
16,purchase,2
17,return,1
17,games,1
17,writing,1
17,listen,1
17,issues,1
17,great battery life,1
17,received,1
17,usb hub,1
17,4gb memory,1
17,crashes,1
17,email,1
17,charged,1
17,chromebook,3
17,durable,2
17,music,1
17,silver,1
17,basically,1
17,macbook,1
17,battery,3
17,speed,1
17,external mouse,1
17,books,1
19,4gb ram,1
19,restart,1
19,internet,1
19,start,4
19,lightweight,1
19,reliable,1
19,lemon,1
20,stolen,1
21,external drive,1
21,tech support,2
21,restart,1
21,sleeping,1
21,keyboards,1
21,great battery life,1
21,asleep,1
21,win 10,1
21,drivers,1
21,software issue,1
21,finger scroll,1
21,board storage,1
21,weight,1
21,win10,1
21,crash,2
21,unreliable,1
21,versions,1
21,software,2
21,connect,1
21,memory card,1
21,build quality,1
23,light,1
24,daughter,1
24,games,1
24,option,1
24,opens,1
24,chrome book,2
25,plenty,1
25,storage,1
25,light,1
25,weight,1
25,touch screen works,1
25,incredibly fast,1
27,replacement,1
27,replace,2
27,returned,1
27,received,2
28,speed,1
28,chromebook,1
28,worth,1
29,daughter,1
29,shipped,1
29,ahead,1
29,helpful,1
29,suffer,1
29,received,1
29,repair,2
29,fixed,1
29,office,1
29,decent computer,1
29,limited,1
29,upgraded,1
29,charge,2
29,figured,1
29,macbook,1
29,update,2
29,college,1
29,reading,1
29,spoke,1
29,troubleshoot,1
30,crashed,1
30,hard drive,1
30,email,1
31,small,2
31,rotation,2
31,turns,1
31,quiet,1
31,great deal,1
31,notebook,3
31,shift,1
31,hardware,1
31,music,5
31,laptops,1
31,rotate,1
31,separate,1
31,battery life,1
31,screen brightness,1
31,surface pro,1
31,backlit keyboard,1
31,enter,1
31,extended periods,1
31,print,2
31,8 gb ram,1
31,excellent,1
31,version,1
31,portrait mode,1
32,worst laptop,1
33,battery,1
33,big hands,1
33,flip screen,1
34,refund,1
34,charging,1
35,windows 10,1
36,laptop/tablet,1
36,responsive,1
36,price,1
36,office,1
36,quick,1
36,sister,1
36,web browsing,1
37,booting,1
38,day long,1
38,i7 version,1
38,problem,1
38,mobility,1
38,versatility,1
38,slowing,1
38,overheating,2
38,programmer,1
39,hardware problem,1
39,lenovo product,1
39,lenovo,2
39,house,1
39,decent computer,1
39,purchase,1
39,replace,1
39,basically,1
39,figured,1
39,warranty,2
39,internet,2
39,connected,1
39,word processing,1
39,power source,1
39,warranty expired,1
39,brand,1
39,internet browsing,1
40,glare,1
40,light,1
40,display,1
40,product description,1
40,error,1
41,inexpensive,1
41,cheaply made,1
41,return,1
43,notice,1
43,hp laptop,1
43,return,1
43,windows 10,1
43,256gb ssd,1
43,intel core i5,1
43,refunded,1
43,purchase,2
44,seller,1
44,battery life,1
44,microsoft word,1
44,light weight,1
44,worth,1
44,portable,1
44,chrome,1
44,returning,1
44,purchase,2
44,nice screen,1
44,charged,1
44,application,1
44,bluetooth,1
47,detachable,1
47,carry,1
48,charger,2
48,defective,1
49,tablet mode,1
51,4gb ram,1
51,windows update,1
53,outlook,1
53,microsd card,1
53,excel,1
53,windows 10,1
53,background,1
53,photoshop,1
53,autocad,1
53,wrote,1
53,startup,2
53,reboot,3
53,watch,1
55,stuff,1
55,games,3
55,attached,1
55,detach,4
55,issues,2
55,monitor,1
55,website,1
55,disappointed,2
55,tablet mode,2
55,bit heavy,1
55,visual studio,1
55,power,2
55,touch,4
55,volume,1
55,laptop mode,1
55,programming,2
55,utility,1
55,button,2
55,8gb ram,1
55,program,3
55,small,1
55,works fine,1
55,drawing,3
55,reset,2
55,desktop,1
55,balance,1
55,power button,1
56,stuff,1
56,games,3
56,attached,1
56,detach,4
56,issues,2
56,monitor,1
56,website,1
56,disappointed,2
56,tablet mode,2
56,bit heavy,1
56,visual studio,1
56,power,2
56,touch,4
56,volume,1
56,laptop mode,1
56,programming,2
56,utility,1
56,button,2
56,8gb ram,1
56,program,3
56,small,1
56,works fine,1
56,drawing,3
56,reset,2
56,desktop,1
56,balance,1
56,power button,1
57,school,1
57,light,1
57,speakers,1
58,charging,1
58,scratch,1
58,windows 8,1
58,cover,1
60,keyboard feels,1
60,buttons,1
60,option,1
60,house,1
60,small hands,1
60,touch pad,1
60,large,1
60,carry,1
60,mouse,1
60,glossy,1
60,press,2
60,small computer,1
60,bloatware,1
60,space,1
62,shipped,1
62,advertised,1
63,touchscreen,1
63,outlook,1
63,function,1
63,brilliant,1
63,price,1
63,purchase,1
66,windows,1
67,updated,1
69,return,1
69,hp spectre,1
69,packaging,1
69,recognize,1
70,buttons,1
70,beautiful design,1
70,problem,2
70,reinstall,1
70,options,1
70,stopped working,1
70,deliver,1
70,pressed,1
70,button,2
70,charge,1
70,touchpad,1
70,company,1
70,space,1
71,inexpensive,1
71,works beautifully,1
71,chromebook,1
71,light weight,1
71,fits perfectly,1
72,android apps,1
72,macbook air,1
72,chromebook,1
72,display,1
72,price,1
73,play store,2
73,small,2
73,samsung chromebook,1
73,backlight,2
73,bigger screen,1
73,experience,3
73,windows,10
73,quality,2
73,tablet mode,3
73,reboot,1
73,windows machine,1
73,asus flip,2
73,handy,1
73,android app,2
73,tablets,1
73,replacement,1
73,browsing,1
73,night,1
73,screen rotation,1
73,hundred dollars,1
73,samsung pro,2
73,excellent,2
73,email,1
73,websites,1
73,beta channel,1
73,charging,2
73,charge,2
73,low light,1
73,portrait mode,1
73,backlit keyboard,1
73,chrome,10
73,smooth,1
73,replace,2
73,android apps,1
73,operate,1
73,super quick,1
73,struggling,1
73,plugged,1
73,finding,1
73,chromebooks,4
73,viewing,1
73,issues,3
73,price,1
73,watch movies,1
73,updated,1
73,samsung,5
73,website,2
73,light,5
73,touchpad,1
73,charm,1
73,windows device,4
73,solid,1
73,software,4
73,compared,2
73,android tablet,6
73,build quality,1
73,laptop mode,1
73,chromebook,9
73,update,2
73,portable laptop,1
73,performance,1
73,display,1
73,tablet experience,1
73,options,1
73,android,17
73,limited,1
73,windows laptop,1
